article_number,image number,alt,article_heading
1,1,Workers sort packages at an Amazon distribution facility in Tepotzotlan Mexico state.,Artificial intelligence will affect 60 million US and Mexican jobs within the year
1,2,,Artificial intelligence will affect 60 million US and Mexican jobs within the year
1,3,,Artificial intelligence will affect 60 million US and Mexican jobs within the year
2,1,Diego Hidalgo,Diego Hidalgo: ‘Banning the sale of phones to teenagers would empower parents’
2,2,Diego Hidalgo is also the driving force behind the OFF Manifesto an initiative that advocates for the control of technology.,Diego Hidalgo: ‘Banning the sale of phones to teenagers would empower parents’
3,1,Teléfonos móviles y niños,How a pioneering movement of Basque families managed a ‘digital delay’ for their teenage kids
4,1,Social media platforms,No more free pass: Regulation starts to crack down on social media platforms
4,2,Meta CEO Mark Zuckerberg before testifying in the U.S. Senate on protecting minors from online sexual exploitation on January 31. ,No more free pass: Regulation starts to crack down on social media platforms
4,3,Former Facebook employee Frances Haugen testified in the U.S. Senate in October 2021 about her leaks published by 'The Wall Street Journal' in which she showed official Instagram documents proving that the company's executives were aware of the harmful effects of the social network on teenage users.,No more free pass: Regulation starts to crack down on social media platforms
4,4,Huawei Vice President Meng Wanzhou in October 2021 after leaving court in Vancouver Canada.,No more free pass: Regulation starts to crack down on social media platforms
5,1,The ChatGPT app for iPhone displaying a notification with updates to the latest version of OpenAI's generative AI engine.,How to ask AI to help you at work
6,1,Artificial intelligence has arrived in territory as old as humanity itself: solo pleasure.,‘This is not your normal masturbation’: Artificial intelligence comes to male sex toys  
6,2,Male masturbator Lelo F1S V3.,‘This is not your normal masturbation’: Artificial intelligence comes to male sex toys  
6,3,Male masturbator Lelo F1S V3.,‘This is not your normal masturbation’: Artificial intelligence comes to male sex toys  
7,1,La ilustradora Karla Ortiz autora de esta obra ha visto que algunas herramientas de IA generativa hacen dibujos con un estilo muy parecido al suyo. Ella es una de las artistas que han demandado a las desarrolladoras de estas herramientas.,The court decision that could turn generative AI upside down 
8,1,Pavel Durov,What does the arrest of Telegram founder Pavel Durov mean?
9,1,Fuzhou Jiangxi Province of China,The lightbulb of the 21st century: The battery revolution illuminates a new era  
9,2,Clearway Daggett 3 Solar Power + Battery Energy Storage System,The lightbulb of the 21st century: The battery revolution illuminates a new era  
9,3,Vinfast Factory in Haiphong,The lightbulb of the 21st century: The battery revolution illuminates a new era  
10,1,Basura electronica,Bitcoin mining uses the same amount of energy as Argentina while laptops need a ton of material
